Company/Brand,Sector,HeadQuarter,Year,Investor,Amount
Aye Finance,Finance,Gurugram,2018,Undisclosed,864000.0
Aldopay,Mobile Payments,Chennai,2018,Undisclosed,200000.0
Detect Technologies,Artificial Intelligence,Chennai,2018,Undisclosed,3300000.0
Signzy,E-Commerce,Bangalore,2018,Undisclosed,2880000.0
CashRich,Apps,Mumbai,2018,Undisclosed,1000000.0
Cloudnine Hospitals,Child Care,Bangalore,2018,Undisclosed,0.0
CropIn Technologies,Agriculture,Bangalore,2018,Undisclosed,6960000.0
Billdesk,Finance,Ahmedabad,2018,Undisclosed,0.0
Yaantra,Information Services,New Delhi,2018,Undisclosed,2000000.0
TECHBOOZE,Education,New Delhi,2018,Undisclosed,100000.0
HealthifyMe,Apps,Bangalore,2018,Undisclosed,6000000.0
hoi foods,Food,Gurugram,2018,Undisclosed,432000.0
Perpule,Apps,Bangalore,2018,Undisclosed,4080000.0
Royal Sundaram General Insurance Co. Limited,Insurance,Kalpakkam,2018,Undisclosed,210000000.0
CleanseCar,Automobile,Bangalore,2018,Undisclosed,420000.0
DRIVEU,Rental,Bangalore,2018,Undisclosed,840000.0
Spinny,E-Commerce,Gurugram,2018,Undisclosed,11000000.0
Asset Reconstruction Company (India) Ltd.,Finance,Mumbai,2018,Undisclosed,0.0
Med365 Healthcare,Fitness,Jaipur,2018,Undisclosed,600000.0
Dunzo,Customer Service,Bangalore,2018,Undisclosed,840000.0
Mobile Premier League (MPL),Gaming,Bangalore,2018,Undisclosed,5000000.0
WalMart India,Retail,Gurugram,2018,Undisclosed,37680000.0
Cred,Art,Bangalore,2018,Undisclosed,0.0
Meesho,E-Commerce,Bangalore,2018,Undisclosed,50000000.0
BhaskarGuru,Search Engine,Bhopal,2018,Undisclosed,1000000.0
Gugu,Battery,Coimbatore,2018,Undisclosed,250000.0
FarmTaaza,Agriculture,Bangalore,2018,Undisclosed,0.0
Vizzbee,Artificial Intelligence,Bhopal,2018,Undisclosed,20000.0
BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Bangalore,2018,Undisclosed,900000.0
Mobycy,Fitness,Gurugram,2018,Undisclosed,0.0
Traveo Soft Pvt. Ltd.,Mobile,Bangalore,2018,Undisclosed,14400.0
